图片名,分辨率1,分辨率2,相似性检验结果
ElkFallsBridge_ZH-CN3921681387,800x480,768x1280,0.767993
ElkFallsBridge_ZH-CN3921681387,800x480,640x480,0.98404
ElkFallsBridge_ZH-CN3921681387,800x480,480x800,0.774114
ElkFallsBridge_ZH-CN3921681387,800x480,400x240,0.993736
ElkFallsBridge_ZH-CN3921681387,800x480,240x320,0.851493
CahuitaNP_ZH-CN3985565209,768x1280,1920x1080,0.504825
CahuitaNP_ZH-CN3985565209,768x1280,1366x768,0.521211
CahuitaNP_ZH-CN3985565209,768x1280,1280x768,0.520121
CahuitaNP_ZH-CN3985565209,768x1280,1024x768,0.646089
CahuitaNP_ZH-CN3985565209,768x1280,800x600,0.656953
CahuitaNP_ZH-CN3985565209,768x1280,800x480,0.681646
CahuitaNP_ZH-CN3985565209,768x1280,768x1280,1
CahuitaNP_ZH-CN3985565209,768x1280,720x1280,0.993437
CahuitaNP_ZH-CN3985565209,768x1280,640x480,0.656426
CahuitaNP_ZH-CN3985565209,768x1280,480x800,0.969308
CahuitaNP_ZH-CN3985565209,768x1280,400x240,0.667926
CahuitaNP_ZH-CN3985565209,768x1280,320x240,0.663892
CahuitaNP_ZH-CN3985565209,768x1280,240x320,0.840791
PuffinSkomer_ZH-CN4039641381,768x1280,1920x1080,0.858244
PuffinSkomer_ZH-CN4039641381,768x1280,1366x768,0.865166
PuffinSkomer_ZH-CN4039641381,768x1280,1280x768,0.872422
PuffinSkomer_ZH-CN4039641381,768x1280,1024x768,0.864121
PuffinSkomer_ZH-CN4039641381,768x1280,800x600,0.873364
PuffinSkomer_ZH-CN4039641381,768x1280,800x480,0.878468
PuffinSkomer_ZH-CN4039641381,768x1280,768x1280,1
PuffinSkomer_ZH-CN4039641381,768x1280,720x1280,0.992208
PuffinSkomer_ZH-CN4039641381,768x1280,640x480,0.876293
PuffinSkomer_ZH-CN4039641381,768x1280,480x800,0.932129
PuffinSkomer_ZH-CN4039641381,768x1280,400x240,0.843606
PuffinSkomer_ZH-CN4039641381,768x1280,320x240,0.845432
PuffinSkomer_ZH-CN4039641381,768x1280,240x320,0.894845
TrilliumLake_ZH-CN4079462365,768x1280,1920x1080,0.884834
TrilliumLake_ZH-CN4079462365,768x1280,1366x768,0.884351
TrilliumLake_ZH-CN4079462365,768x1280,1280x768,0.880021
TrilliumLake_ZH-CN4079462365,768x1280,1024x768,0.817977
TrilliumLake_ZH-CN4079462365,768x1280,800x600,0.823435
TrilliumLake_ZH-CN4079462365,768x1280,800x480,0.871527
TrilliumLake_ZH-CN4079462365,768x1280,768x1280,1
TrilliumLake_ZH-CN4079462365,768x1280,720x1280,0.996981
TrilliumLake_ZH-CN4079462365,768x1280,640x480,0.825469
TrilliumLake_ZH-CN4079462365,768x1280,480x800,0.922819
TrilliumLake_ZH-CN4079462365,768x1280,400x240,0.873061
TrilliumLake_ZH-CN4079462365,768x1280,320x240,0.827193
TrilliumLake_ZH-CN4079462365,768x1280,240x320,0.836806
TortoiseMigration_ZH-CN4128473636,768x1280,1920x1080,0.945179
TortoiseMigration_ZH-CN4128473636,768x1280,1366x768,0.942457
TortoiseMigration_ZH-CN4128473636,768x1280,1280x768,0.947571
TortoiseMigration_ZH-CN4128473636,768x1280,1024x768,0.847307
