图片1名,图片2名,分辨率,相似性检验结果
2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_768x1280_Similarity.jpg,768x1280,0.976262
2019-07-21_BuckinghamSummer_ZH-CN3519250117_720x1280.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_720x1280_Similarity.jpg,720x1280,0.979013
2019-07-21_BuckinghamSummer_ZH-CN3519250117_640x480.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_640x480_Similarity.jpg,640x480,0.929456
2019-07-21_BuckinghamSummer_ZH-CN3519250117_480x800.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_480x800_Similarity.jpg,480x800,0.942084
2019-07-21_BuckinghamSummer_ZH-CN3519250117_400x240.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_400x240_Similarity.jpg,400x240,0.773236
2019-07-21_BuckinghamSummer_ZH-CN3519250117_320x240.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_320x240_Similarity.jpg,320x240,0.715187
2019-07-21_BuckinghamSummer_ZH-CN3519250117_240x320.jpg,2019-07-21_BuckinghamSummer_ZH-CN3519250117_240x320_Similarity.jpg,240x320,0.882009
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1920x1080.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1920x1080_Similarity.jpg,1920x1080,0.988305
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1366x768.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1366x768_Similarity.jpg,1366x768,0.984617
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1280x768.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1280x768_Similarity.jpg,1280x768,0.97946
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1024x768.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_1024x768_Similarity.jpg,1024x768,0.969952
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x600.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x600_Similarity.jpg,800x600,0.961916
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_800x480_Similarity.jpg,800x480,0.976634
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_768x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_768x1280_Similarity.jpg,768x1280,0.973669
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_720x1280.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_720x1280_Similarity.jpg,720x1280,0.970084
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_640x480.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_640x480_Similarity.jpg,640x480,0.951609
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_480x800.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_480x800_Similarity.jpg,480x800,0.967725
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_400x240.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_400x240_Similarity.jpg,400x240,0.937466
2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_320x240.jpg,2019-07-22_SardiniaHawkMoth_ZH-CN3672906054_320x240_Similarity.jpg,320x240,0.856969
2019-07-23_Skywalk_ZH-CN3725661090_1366x768.jpg,2019-07-23_Skywalk_ZH-CN3725661090_1366x768_Similarity.jpg,1366x768,0.981541
2019-07-23_Skywalk_ZH-CN3725661090_1280x768.jpg,2019-07-23_Skywalk_ZH-CN3725661090_1280x768_Similarity.jpg,1280x768,0.983098
2019-07-23_Skywalk_ZH-CN3725661090_1024x768.jpg,2019-07-23_Skywalk_ZH-CN3725661090_1024x768_Similarity.jpg,1024x768,0.946818
2019-07-23_Skywalk_ZH-CN3725661090_800x600.jpg,2019-07-23_Skywalk_ZH-CN3725661090_800x600_Similarity.jpg,800x600,0.953564
2019-07-23_Skywalk_ZH-CN3725661090_800x480.jpg,2019-07-23_Skywalk_ZH-CN3725661090_800x480_Similarity.jpg,800x480,0.9294
2019-07-23_Skywalk_ZH-CN3725661090_768x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_768x1280_Similarity.jpg,768x1280,0.982614
2019-07-23_Skywalk_ZH-CN3725661090_720x1280.jpg,2019-07-23_Skywalk_ZH-CN3725661090_720x1280_Similarity.jpg,720x1280,0.98471
2019-07-23_Skywalk_ZH-CN3725661090_640x480.jpg,2019-07-23_Skywalk_ZH-CN3725661090_640x480_Similarity.jpg,640x480,0.9211
2019-07-23_Skywalk_ZH-CN3725661090_480x800.jpg,2019-07-23_Skywalk_ZH-CN3725661090_480x800_Similarity.jpg,480x800,0.962683
2019-07-23_Skywalk_ZH-CN3725661090_400x240.jpg,2019-07-23_Skywalk_ZH-CN3725661090_400x240_Similarity.jpg,400x240,0.792507
2019-07-23_Skywalk_ZH-CN3725661090_320x240.jpg,2019-07-23_Skywalk_ZH-CN3725661090_320x240_Similarity.jpg,320x240,0.861328
2019-07-23_Skywalk_ZH-CN3725661090_240x320.jpg,2019-07-23_Skywalk_ZH-CN3725661090_240x320_Similarity.jpg,240x320,0.902081
2019-07-24_MeerkatMob_ZH-CN3788674757_1920x1080.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1920x1080_Similarity.jpg,1920x1080,0.99026
2019-07-24_MeerkatMob_ZH-CN3788674757_1366x768.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1366x768_Similarity.jpg,1366x768,0.979212
2019-07-24_MeerkatMob_ZH-CN3788674757_1280x768.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1280x768_Similarity.jpg,1280x768,0.980643
2019-07-24_MeerkatMob_ZH-CN3788674757_1024x768.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_1024x768_Similarity.jpg,1024x768,0.978201
2019-07-24_MeerkatMob_ZH-CN3788674757_800x600.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_800x600_Similarity.jpg,800x600,0.975284
